,Category,answer_class,ques,text
112,Портал,14,Qs1,Как приступить к обучению?
113,Требования ПО,24,Qs1,"Я студент, изучающий направление ""Тестировщик"" на вашей платформе. Можете ли вы посоветовать мне программы, которые мне следует установить для эффективного обучения?"
114,Портал,16,Qs1,"Какие курсы расположены во вкладке ""Отдельные""?"
115,Перевод/ запись в группу,11,Qs1,Как я могу перевестись в другую группу?
116,Трудоустройство,26,Qs1,Как получить помощь в трудоустройстве?
117,Требования ПО,23,Qs1,"Какие программные требования нужны для специализации ""Программист""?"
118,Документы,2,Qs1,Какие документы нужно предоставить для получения диплома?
119,Портал,14,Qs1,"Где на сайте GeekBrains я могу найти перечень курсов, которые мне нужно пройти?"
120,Организация уроков,9,Qs1,"Где я могу найти записи вебинаров, которые уже прошли?"
121,Оценки,10,Qs1,"Можно ли переделать работу и сдать ее еще раз, если пропущен дедлайн пересдачи?"
122,Документы,28,Qs1,Могу ли я получить налоговую скидку за обучение на вашей платформе?
123,Программа обучения,19,Qs1,Можете ли вы дать более подробную информацию о программе обучения?
124,Организация уроков,8,Qs1,Какие форматы обучения доступны на платформе?
125,Документы,3,Qs1,Какие требования должны быть выполнены для получения удостоверения?
126,Документы,1,Qs1,Можно ли получить диплом без сдачи промежуточных и итоговых аттестаций?
127,Документы,0,Qs1,Какие аккредитации или удостоверения могут быть выданы после окончания обучения?
128,Организация уроков,9,Qs1,"Что делать, если я не смог присоединиться к онлайн-уроку?"
129,Расписание,21,Qs1,Будут ли перерывы в обучении в GeekBrains в этом году?
130,Портал,17,Qs1,Как включить оповещения об уроках для моей учетной записи?
131,Организация уроков,5,Qs1,Как войти на урок?
132,Документы,1,Qs1,Как получить документ об окончании курса обучения?
133,Документы,28,Qs1,Есть ли возможность получить налоговый вычет за обучение на ваших курсах?
134,Портал,18,Qs1,Как заполнить профиль в моей учетной записи?
135,Практические работы,12,Qs1,Как можно отправить выполненное задание на проверку?
136,Документы,29,Qs1,"Какие шаги нужно предпринять, если налоговая инспекция отказывается признавать договор с вашей школой?"
137,Организация уроков,8,Qs1,Какой тип уроков предусмотрен в моей образовательной программе?
138,Перевод/ запись в группу,11,Qs2,Как поменять группу или специализацию в процессе обучения?
139,Портал,15,Qs2,Какие составляющие входят в основное обучение в личном кабинете?
140,Трудоустройство,27,Qs2,Какие инструменты и ресурсы включены в программу помощи с трудоустройством вашей школы?
141,Расписание,21,Qs2,"Можете ли вы сообщить мне, когда будут каникулы в 2024 году?"
142,Трудоустройство,25,Qs2,Какие инструменты и ресурсы предлагаются для помощи в поиске работы после окончания обучения?
143,Оценки,10,Qs2,Кто оценивает мои сданные работы?
144,Документы,2,Qs2,Когда будет вручение дипломов?
145,Организация уроков,6,Qs2,Какая последовательность обучения курсов предусмотрена в программе?
146,Расписание,22,Qs2,Как узнать расписание курсов и лекций?
147,Документы,3,Qs2,К какому сроку необходимо было сделать оплату обучения для получения сертификата?
148,Оценки,10,Qs2,"Как исправить оценку ""не прошел"" или ""не принято"" на курсе?"
149,Практические работы,12,Qs2,Как отправить домашнее задание на проверку на платформе?
150,Требования ПО,24,Qs2,Какие программы и инструменты необходимы для успешного обучения на тестировщика?
151,Трудоустройство,26,Qs2,Как я могу получить консультацию по вопросам трудоустройства?
152,Документы,0,Qs2,"Как узнать, какие документы или сертификаты будут выданы после окончания обучения?"
153,Организация уроков,5,Qs2,Как я могу получить доступ к трансляциям вебинаров?
154,Портал,17,Qs2,Как отменить подписку на уведомления от вашей платформы?
155,Организация уроков,6,Qs2,Когда можно ожидать появления расписания?
156,Документы,1,Qs2,"Как получить документ, подтверждающий мое образование?"
157,Портал,17,Qs2,Как настроить уведомления о предстоящих занятиях на платформе?
158,Документы,4,Qs2,Могу ли я запросить диплом на бумаге?
159,Портал,14,Qs2,"Как найти список курсов, которые я должен пройти для получения диплома?"
160,Портал,15,Qs2,Какие части входят в основное обучение в личном кабинете?
161,Программа обучения,13,Qs2,Какой срок обучения установлен для моей программы?
162,Требования ПО,23,Qs2,Какие программы и инструменты понадобятся для обучения на программиста?
163,Организация уроков,8,Qs2,Как происходит консультация?
164,Трудоустройство,27,Qs2,Какие инструменты и ресурсы предоставляются для помощи с трудоустройством?
165,Программа обучения,20,Qs2,Какие отличия есть в формате и продолжительности программы профессиональной переподготовки и программы повышения квалификации?
166,Организация уроков,7,Qs2,Будут ли уроки включать в себя дискуссии и возможность задавать вопросы?
167,Организация уроков,5,Qs2,Какие места используются для проведения уроков?
168,Трудоустройство,25,Qs2,Какие мероприятия или ресурсы предоставляются для помощи с трудоустройством после окончания обучения?
169,Документы,4,Qs2,Какие шаги нужно выполнить для получения диплома?
170,Портал,18,Qs2,Как обновить информацию в профиле?
171,Практические работы,12,Qs2,Как получить доступ к заданиям для выполнения?
172,Расписание,22,Qs2,Как выглядит расписание занятий?
173,Организация уроков,9,Qs2,Где можно найти запись прошедшего вебинара?
174,Документы,29,Qs2,Моя налоговый инспектор отказался принять договор от учебного заведения. Как мне решить эту проблему?
175,Документы,0,Qs2,Что за документ я получу после завершения обучения?
176,Перевод/ запись в группу,11,Qs2,С какого момента начинается отсчет срока обучения для возможных перемещений?
177,Организация уроков,7,Qs2,Как происходит обучение на курсе?
178,Программа обучения,20,Qs2,В чем заключаются основные различия между программой профессиональной переподготовки и программой дополнительного образования?
179,Портал,16,Qs2,"Обязательно ли проходить курсы, представленные во вкладке ""Отдельные""?"
180,Программа обучения,13,Qs2,"В чем заключаются основные различия между программами ""Специалист"" и ""Специалист с опытом""?"
181,Портал,14,Qs2,Как начать учебу?
182,Требования ПО,24,Qs2,"Я учащийся на вашей платформе, изучающий специальность ""Тестировщик"". Можете ли вы предложить мне программы, которые помогут мне в эффективном обучении?"
183,Портал,16,Qs2,"Какие курсы представлены в разделе ""Отдельные""?"
184,Перевод/ запись в группу,11,Qs2,Как перевестись в другую группу?
185,Трудоустройство,26,Qs2,Как получить консультацию по трудоустройству?
186,Требования ПО,23,Qs2,"Какие программные требования требуются для специализации ""Программист""?"
187,Документы,2,Qs2,Какие документы требуются для получения диплома?
188,Портал,14,Qs2,"Где на сайте GeekBrains находится список курсов, которые я должен пройти?"
189,Организация уроков,9,Qs2,Где расположены записи уже прошедших вебинаров?
190,Оценки,10,Qs2,"Можно ли пересдать задание, если пропущен срок пересдачи?"
191,Документы,28,Qs2,Можно ли получить налоговый вычет за обучение на вашей платформе?
192,Программа обучения,19,Qs2,Можете ли вы рассказать о структуре программы обучения?
193,Организация уроков,8,Qs2,Какие форматы занятий предусмотрены в программе обучения?
194,Документы,3,Qs2,Какие критерии должны быть соблюдены для получения удостоверения?
195,Документы,1,Qs2,Можно ли получить диплом без прохождения промежуточной и итоговой аттестаций?
196,Документы,0,Qs2,Какие аккредитации или удостоверения могут быть предоставлены после прохождения курса?
197,Организация уроков,9,Qs2,"Что делать, если я не смог принять участие в онлайн-занятии?"
198,Расписание,21,Qs2,Будут ли вакации в GeekBrains в этом году?
199,Портал,17,Qs2,Как активировать уведомления о занятиях для моего аккаунта?
200,Организация уроков,5,Qs2,Как прийти на занятие?
201,Документы,1,Qs2,Что должно быть сделано для получения сертификата после обучения?
202,Документы,28,Qs2,Можно ли получить налоговую компенсацию за прохождение ваших курсов?
203,Портал,18,Qs2,Как отредактировать информацию о себе в личном кабинете?
204,Практические работы,12,Qs2,Какие варианты сдачи домашнего задания предусмотрены?
205,Документы,29,Qs2,"Как решить проблему, если налоговая отказывается зарегистрировать договор с вашей школой?"
206,Организация уроков,8,Qs2,Какой формат занятий используется в моей учебной программе?
207,Перевод/ запись в группу,11,Qs3,Как осуществить перевод в другую группу или смену специальности?
208,Портал,15,Qs3,Какие части составляют основное обучение в личном кабинете?
209,Трудоустройство,27,Qs3,Какие ресурсы и инструменты предоставляются студентам для помощи в трудоустройстве вашей школы?
210,Расписание,21,Qs3,Какие даты каникул запланированы на 2024 год?
211,Трудоустройство,25,Qs3,Какие ресурсы и инструменты доступны для помощи в поиске работы после окончания учебы?
212,Оценки,10,Qs3,Кто является моим рецензентом для сданных работ?
213,Документы,2,Qs3,Когда я смогу забрать свой диплом?
214,Организация уроков,6,Qs3,Какой маршрут обучения курсов предлагается в программе?
215,Расписание,22,Qs3,Где можно найти расписание занятий на сегодня/неделю/месяц?
216,Документы,3,Qs3,"Когда следует оплатить обучение, чтобы получить удостоверение о прохождении курса?"
217,Оценки,10,Qs3,"Как исправить оценку ""не принято"" на экзамене или зачете?"
218,Практические работы,12,Qs3,Как загрузить домашнее задание для оценки на платформе?
219,Требования ПО,24,Qs3,Какие инструменты и программы понадобятся для обучения на тестировщика?
220,Трудоустройство,26,Qs3,Какие услуги предоставляются для помощи в поиске работы?
221,Документы,0,Qs3,"Где можно получить информацию о документах или сертификатах, которые будут выданы после окончания обучения?"
222,Организация уроков,5,Qs3,Где можно посмотреть трансляции прошедших вебинаров?
223,Портал,17,Qs3,Как я могу прекратить получать уведомления от вашей платформы?
224,Организация уроков,6,Qs3,"Как я могу узнать, когда будет опубликовано расписание?"
225,Документы,1,Qs3,Как получить итоговый документ об окончании учебного заведения?
226,Портал,17,Qs3,Как настроить уведомления о предстоящих уроках в личном кабинете?
227,Документы,4,Qs3,Можно ли получить диплом в виде бумажного документа?
228,Портал,14,Qs3,"Как найти список курсов, которые входят в мою образовательную программу?"
229,Портал,15,Qs3,Какие модули входят в основное обучение в личном кабинете?
230,Программа обучения,13,Qs3,Какой срок обучения необходим для получения моего диплома?
231,Требования ПО,23,Qs3,Какие инструменты и программы необходимы для успешного обучения на программиста?
232,Организация уроков,8,Qs3,Какие вопросы могут быть обсуждены во время консультации?
233,Трудоустройство,27,Qs3,Какие мероприятия проводятся для помощи с трудоустройством?
234,Программа обучения,20,Qs3,Какие различия есть в учебных планах и продолжительности программы профессиональной переподготовки и программы повышения квалификации?
235,Организация уроков,7,Qs3,"Могу ли я ожидать, что преподаватели будут отвечать на мои вопросы во время уроков?"
236,Организация уроков,5,Qs3,Какие помещения используются для проведения занятий?
237,Трудоустройство,25,Qs3,Какие услуги по трудоустройству предоставляются в рамках вашей программы обучения?
238,Документы,4,Qs3,Какие документы нужно предоставить для получения диплома?
239,Портал,18,Qs3,Как изменить информацию в профиле?
240,Практические работы,12,Qs3,Как найти задания для выполнения в личном кабинете?
241,Расписание,22,Qs3,Какие дни в неделю проводятся уроки?
242,Организация уроков,9,Qs3,Как скачать запись вебинара?
243,Документы,29,Qs3,Налоговая инспекция отказалась заключить договор с вашей школой. Какие меры следует принять?
244,Документы,0,Qs3,Какой диплом будет выдан мне после окончания курса?
245,Перевод/ запись в группу,11,Qs3,От какой даты начинается учет срока обучения для возможных перемещений?
246,Организация уроков,7,Qs3,Как проходят уроки на курсе?
247,Программа обучения,20,Qs3,Какие существенные отличия между программой профессиональной переподготовки и программой повышения квалификации?
248,Портал,16,Qs3,"Требуется ли проходить все курсы из раздела ""Отдельные""?"
249,Программа обучения,13,Qs3,"Какие существенные отличия есть между программами ""Специалист"" и ""Специалист с опытом""?"
250,Портал,14,Qs3,Как приступить к учебе?
251,Требования ПО,24,Qs3,"Я студент, изучающий направление ""Тестировщик"" на вашей платформе. Можете ли вы рекомендовать мне программы, необходимые для эффективного обучения?"
252,Портал,16,Qs3,"Какие курсы расположены в категории ""Отдельные""?"
253,Перевод/ запись в группу,11,Qs3,Как мне перейти в другую группу?
254,Трудоустройство,26,Qs3,Как получить помощь в поиске и устройстве на работу?
255,Требования ПО,23,Qs3,"Какие программные требования необходимы для обучения по специальности ""Программист""?"
256,Документы,2,Qs3,Какие документы необходимо предоставить для получения аттестата?
257,Портал,14,Qs3,Где на сайте GeekBrains я могу найти список обязательных курсов?
258,Организация уроков,9,Qs3,Где я могу найти записи архивных вебинаров?
259,Оценки,10,Qs3,"Можно ли переделать задание и сдать его еще раз, если пропущен срок пересдачи?"
260,Документы,28,Qs3,Могу ли я получить налоговую компенсацию за обучение на вашей платформе?
261,Программа обучения,19,Qs3,"Можете ли вы объяснить, как организовано обучение в рамках программы?"
262,Организация уроков,8,Qs3,Какие форматы курсов предлагаются на платформе?
263,Документы,3,Qs3,Какие правила должны быть выполнены для получения удостоверения?
264,Документы,1,Qs3,Можно ли получить диплом без сдачи промежуточной и итоговой аттестаций?
265,Документы,0,Qs3,Какие аккредитации или удостоверения могут быть получены после прохождения программы обучения?
266,Организация уроков,9,Qs3,"Что делать, если я не смог присутствовать на онлайн-уроке?"
267,Расписание,21,Qs3,Будут ли отпуска в GeekBrains в этом году?
268,Портал,17,Qs3,Как включить оповещения о занятиях для моей учетной записи?
269,Организация уроков,5,Qs3,Как присоединиться к занятию?
270,Документы,1,Qs3,"Какие требования нужно выполнить, чтобы получить документ об обучении?"
271,Документы,28,Qs3,Как получить налоговый вычет за участие в ваших курсах?
272,Портал,18,Qs3,Как внести изменения в свои персональные данные в учетной записи?
273,Практические работы,12,Qs3,Какие возможности есть для сдачи задания на курсе?
274,Документы,29,Qs3,"Что можно сделать, если налоговая отказывается принять договор с вашей школой в качестве документа, подтверждающего расходы на образование?"
275,Организация уроков,8,Qs3,Как проводятся уроки в моей программе обучения?
276,Перевод/ запись в группу,11,Qs4,Как изменить группу или направление обучения в середине учебного года?
277,Портал,15,Qs4,Какие элементы являются частью основного обучения в личном кабинете?
278,Трудоустройство,27,Qs4,Какие инструменты и ресурсы предлагаются студентам для помощи в трудоустройстве вашей школы?
279,Расписание,21,Qs4,Можете ли вы предоставить мне информацию о каникулах в 2024 году?
280,Трудоустройство,25,Qs4,Какие инструменты и ресурсы предоставляются для помощи в трудоустройстве после окончания учебы?
281,Оценки,10,Qs4,Кто проверяет мои курсовые и дипломные работы?
282,Документы,2,Qs4,Когда будет проведена церемония вручения дипломов?
283,Организация уроков,6,Qs4,Какая последовательность прохождения курсов рекомендуется в программе?
284,Расписание,22,Qs4,Как получить доступ к расписанию курсов и лекций?
285,Документы,3,Qs4,К какому сроку необходимо было оплатить обучение для получения документа о завершении курса?
286,Оценки,10,Qs4,"Как исправить оценку ""не прошел"" или ""не принято"" в личном кабинете?"
287,Практические работы,12,Qs4,Как отправить домашнее задание на платформе для проверки преподавателем?
288,Требования ПО,24,Qs4,Какие программы и инструменты следует использовать для обучения на тестировщика?
289,Трудоустройство,26,Qs4,Как я могу получить помощь в подготовке к собеседованию?
290,Документы,0,Qs4,"Как узнать, какие требования необходимо выполнить для получения сертификата или документа после окончания обучения?"
291,Организация уроков,5,Qs4,"Как я могу узнать, когда и где пройдут следующие трансляции вебинаров?"
292,Портал,17,Qs4,Как я могу изменить настройки уведомлений на вашей платформе?
293,Организация уроков,6,Qs4,Где можно найти информацию о дате публикации расписания?
294,Документы,1,Qs4,"Как получить документ, подтверждающий мои знания и навыки?"
295,Портал,17,Qs4,Как настроить уведомления о предстоящих занятиях на сайте учебного заведения?
296,Документы,4,Qs4,Могу ли я получить диплом в виде сертификата на бумаге?
297,Портал,14,Qs4,"Как найти список курсов, которые я должен пройти для получения сертификата?"
298,Портал,15,Qs4,Какие курсы входят в основное обучение в личном кабинете?
299,Программа обучения,13,Qs4,Какой срок обучения необходим для получения моего сертификата?
300,Требования ПО,23,Qs4,Какие программы и инструменты следует использовать для обучения на программиста?
301,Организация уроков,8,Qs4,Какие темы могут быть рассмотрены во время консультации?
302,Трудоустройство,27,Qs4,Какие консультации предоставляются для помощи с трудоустройством?
303,Программа обучения,20,Qs4,Какие отличия есть в целях и продолжительности программы профессиональной переподготовки и программы повышения квалификации?
304,Организация уроков,7,Qs4,Будут ли уроки включать в себя практические задания и возможность задавать вопросы?
305,Организация уроков,5,Qs4,Какие ресурсы используются для проведения уроков?
306,Трудоустройство,25,Qs4,Какие практики используются для помощи с трудоустройством после окончания обучения?
307,Документы,4,Qs4,Какие процедуры нужно пройти для получения диплома?
308,Портал,18,Qs4,Как добавить контактную информацию в профиль?
309,Практические работы,12,Qs4,Как найти задания для выполнения на сайте учебного заведения?
310,Расписание,22,Qs4,Какие дни в месяце проводятся уроки?
311,Организация уроков,9,Qs4,Как просмотреть запись вебинара?
312,Документы,29,Qs4,Моя налоговая служба отказалась принять договор от учебного заведения. Какие действия следует предпринять?
313,Документы,0,Qs4,После прохождения обучения какой свидетельствующий документ я получу?
314,Перевод/ запись в группу,11,Qs4,С какого момента начинается отсчет срока обучения для возможных переводов или перемещений?
315,Организация уроков,7,Qs4,Как организуется учебный процесс на курсе?
316,Программа обучения,20,Qs4,В чем заключаются ключевые различия между программой профессиональной переподготовки и программой профессионального развития?
317,Портал,16,Qs4,"Необходимо ли проходить все курсы, расположенные в категории ""Отдельные""?"
318,Программа обучения,13,Qs4,"В чем заключаются ключевые различия между программами ""Специалист"" и ""Специалист с опытом""?"
319,Портал,14,Qs4,Как начать проходить курс?
320,Требования ПО,24,Qs4,"Я учащийся на вашей платформе, изучающий специальность ""Тестировщик"". Можете ли вы посоветовать мне программы, которые помогут мне в обучении?"
321,Портал,16,Qs4,"Какие курсы представлены в категории ""Отдельные""?"
322,Перевод/ запись в группу,11,Qs4,Как я могу перейти в другую группу?
323,Трудоустройство,26,Qs4,Как получить поддержку в поиске и устройстве на работу?
324,Требования ПО,23,Qs4,"Какие программные требования нужны для обучения по специальности ""Программист""?"
325,Документы,2,Qs4,Какие документы нужно предоставить для получения аттестата?
326,Портал,14,Qs4,Где на сайте GeekBrains расположен перечень обязательных курсов?
327,Организация уроков,9,Qs4,Где расположены записи архивных вебинаров?
328,Оценки,10,Qs4,"Можно ли пересдать проект, если пропущен дедлайн пересдачи проекта?"
329,Документы,28,Qs4,Можно ли получить налоговую льготу за обучение на вашей платформе?
330,Программа обучения,19,Qs4,Можете ли вы описать процесс обучения в рамках программы?
331,Организация уроков,8,Qs4,Какие форматы учебного процесса используются в обучении?
332,Документы,3,Qs4,Какие стандарты должны быть соблюдены для получения удостоверения?
333,Документы,1,Qs4,Можно ли получить диплом без прохождения промежуточных и итоговых экзаменов?
334,Документы,0,Qs4,Какие аккредитации или удостоверения могут быть выданы после успешного завершения курса?
335,Организация уроков,9,Qs4,"Что делать, если я не смог посетить вебинар?"
336,Расписание,21,Qs4,Будут ли перерывы на праздники в GeekBrains в этом году?
337,Портал,17,Qs4,Как активировать уведомления о вебинарах для моего профиля?
338,Организация уроков,5,Qs4,Как войти на вебинар?
339,Документы,1,Qs4,Как получить подтверждение о прохождении курса обучения?
340,Документы,28,Qs4,Возможно ли получить налоговую отсрочку за обучение на ваших курсах?
341,Портал,18,Qs4,Как обновить информацию о себе в личном кабинете?
342,Практические работы,12,Qs4,Как отправить выполненное задание преподавателю?
343,Документы,29,Qs4,"Какие действия следует предпринять, если налоговая отказывается признавать договор с вашей школой в качестве документа, дающего право на налоговый вычет?"
344,Организация уроков,8,Qs4,Какой формат уроков предусмотрен в моей учебной программе: онлайн или офлайн?
345,Перевод/ запись в группу,11,Qs5,"Какие действия нужно предпринять, чтобы сменить группу или специализацию?"
346,Портал,15,Qs5,Какие компоненты являются основой обучения в личном кабинете?
